,model,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
0,SwinTransformer,0.4484368357807398,0.8041114807128906,0.876475989818573,0.4343041004613042,0.794403076171875,0.8793041706085205
1,SwinTransformer,0.3916462137713097,0.83392333984375,0.9061318635940552,0.417861619964242,0.80859375,0.8984417915344238
2,SwinTransformer,0.39741906174458563,0.8319892883300781,0.9050741195678711,0.4408771195448935,0.799072265625,0.8967406749725342
3,SwinTransformer,0.39285539113916457,0.8339614868164062,0.907413899898529,0.4178609261289239,0.80810546875,0.894953727722168
4,SwinTransformer,0.3849520859657787,0.8383140563964844,0.9106579422950745,0.41651495872065425,0.808837890625,0.8930201530456543
5,SwinTransformer,0.3816780322813429,0.8398780822753906,0.9119234681129456,0.423195187933743,0.80572509765625,0.8968145847320557
6,SwinTransformer,0.3773828111588955,0.8417167663574219,0.913631021976471,0.39073661621659994,0.821502685546875,0.905915379524231
7,SwinTransformer,0.37032611161703244,0.8456192016601562,0.9165526628494263,0.4080264950171113,0.817230224609375,0.8990623950958252
8,SwinTransformer,0.3671128121204674,0.847503662109375,0.9180269241333008,0.40395572734996676,0.817291259765625,0.9026623368263245
9,SwinTransformer,0.3683936707675457,0.84649658203125,0.9176592826843262,0.4038325706496835,0.8172607421875,0.9026675820350647
